CUST_ID,BALANCE,BALANCE_FREQUENCY,PURCHASES,ONEOFF_PURCHASES,INSTALLMENTS_PURCHASES,CASH_ADVANCE,PURCHASES_FREQUENCY,ONEOFF_PURCHASES_FREQUENCY,PURCHASES_INSTALLMENTS_FREQUENCY,CASH_ADVANCE_FREQUENCY,CASH_ADVANCE_TRX,PURCHASES_TRX,CREDIT_LIMIT,PAYMENTS,MINIMUM_PAYMENTS,PRC_FULL_PAYMENT,TENURE
,16.834929,0.75,15.0,15.0,0.0,209.025389,0.090909,0.090909,0.0,0.090909,1.0,1.0,7500.0,430.213001,86.959785,0.0,12.0
,540.020858,1.0,612.23,495.61,116.62,1708.923217,0.666667,0.166667,0.5,0.333333,10.0,10.0,2000.0,1642.068707,419.956251,0.0,12.0
,119.237712,1.0,342.74,0.0,342.74,0.0,1.0,0.0,1.0,0.0,0.0,20.0,2000.0,327.166041,165.207233,0.0,12.0
,894.081947,1.0,1901.71,1518.6,48.6,206.61878,0.666667,0.666667,0.416667,0.083333,1.0,33.0,1500.0,947.130141,220.745296,0.0,12.0
,1294.145453,1.0,2852.8100000000004,1518.6,1198.14375,0.0,1.0,0.416667,1.0,0.0,0.0,42.0,7000.0,4145.830201000001,497.637767,0.083333,12.0
,32.229139,0.75,145.85,0.0,145.85,0.0,0.583333,0.0,0.583333,0.0,0.0,7.0,1000.0,263.681773,130.725349,0.125,12.0
,812.839893,0.875,1160.09,932.09,228.0,2722.4781674999995,0.875,0.375,0.5,0.51388875,8.0,13.0,2000.0,4145.830201000001,197.894736,0.2,12.0
,1054.905969,1.0,885.44,0.0,885.44,0.0,0.833333,0.0,0.833333,0.0,0.0,43.5,1000.0,1057.25415,1613.401207,0.0,12.0
,600.777518,1.0,760.38,269.53,490.85,0.0,1.0,0.166667,1.0,0.0,0.0,35.0,4500.0,829.712416,186.053091,0.0,12.0
,2184.965504,1.0,0.0,0.0,0.0,2722.4781674999995,0.0,0.0,0.0,0.51388875,10.0,0.0,8000.0,1730.364781,481.160634,0.0,12.0
,335.360271,1.0,2852.8100000000004,1518.6,0.0,0.0,0.75,0.75,0.0,0.0,0.0,19.0,2000.0,3137.11501,124.831219,0.3125,12.0
,4380.251712,1.0,0.0,0.0,0.0,404.036972,0.0,0.0,0.0,0.333333,3.0,0.0,4500.0,776.241676,1326.776456,0.0,12.0
,1239.889457,1.0,2852.8100000000004,1518.6,1198.14375,0.0,0.583333,0.25,0.416667,0.0,0.0,12.0,9500.0,3980.107176,511.121978,0.083333,12.0
,212.080181,1.0,618.0,333.0,285.0,0.0,0.5,0.083333,0.333333,0.0,0.0,7.0,6000.0,378.383325,169.341588,0.0,12.0
,90.017392,0.909091,1247.39,427.02,820.37,0.0,0.909091,0.272727,0.818182,0.0,0.0,25.0,5000.0,762.863333,115.044143,0.3125,12.0
,547.484638,0.909091,1225.96,1071.23,154.73,0.0,0.833333,0.666667,0.166667,0.0,0.0,13.0,1500.0,400.154087,276.642257,0.0,12.0
,1189.030969,1.0,1122.3,1122.3,0.0,1425.965785,0.416667,0.416667,0.0,0.416667,9.0,9.0,4000.0,3231.526204,318.563445,0.0,12.0
,2221.252825,0.75,0.0,0.0,0.0,2722.4781674999995,0.0,0.0,0.0,0.333333,10.0,0.0,7000.0,397.799248,477.915036,0.0,12.0
,1053.639683,1.0,1027.01,1002.8,24.21,314.032321,0.583333,0.25,0.25,0.083333,3.0,8.0,2200.0,1181.14154,225.348166,0.0,12.0
,2458.376257,0.818182,0.0,0.0,0.0,102.275984,0.0,0.0,0.0,0.083333,1.0,0.0,7500.0,4145.830201000001,647.20869,0.0,12.0
,1155.509859,1.0,564.0,564.0,0.0,0.0,0.166667,0.166667,0.0,0.0,0.0,6.0,4000.0,279.047416,295.461365,0.0,12.0
,1139.782882,1.0,0.0,0.0,0.0,120.612912,0.0,0.0,0.0,0.083333,1.0,0.0,1200.0,151.823651,1842.1386358423804,0.0,12.0
,1411.096444,1.0,270.0,0.0,270.0,711.48812,0.833333,0.0,0.833333,0.25,3.0,10.0,1500.0,1279.52965,902.25194,0.0,12.0
,2848.735428,1.0,95.67,95.67,0.0,272.559361,0.083333,0.083333,0.0,0.083333,1.0,1.0,5500.0,679.138272,892.599825,0.0,12.0
,2584.317807,1.0,0.0,0.0,0.0,2722.4781674999995,0.0,0.0,0.0,0.25,7.0,0.0,3000.0,4145.830201000001,826.013735,0.181818,12.0
,2244.345037,1.0,2852.8100000000004,1238.55,1198.14375,0.0,1.0,0.75,1.0,0.0,0.0,43.5,9500.0,713.218297,643.266736,0.0,12.0
,276.93292,0.75,0.0,0.0,0.0,936.59473,0.0,0.0,0.0,0.083333,2.0,0.0,1000.0,247.914645,152.028346,0.0,12.0
,4.326857,0.75,100.12,0.0,100.12,0.0,0.75,0.0,0.666667,0.0,0.0,9.0,4000.0,123.485948,61.021667,0.3,12.0
,4710.195354125,1.0,2469.28,905.98,1198.14375,2722.4781674999995,0.916667,0.583333,0.833333,0.51388875,10.0,33.0,8000.0,1226.857482,1842.1386358423804,0.0,12.0
,492.916599,1.0,2852.8100000000004,1518.6,1198.14375,0.0,1.0,0.8333325,1.0,0.0,0.0,43.5,12750.0,3603.230966,207.887409,0.3125,12.0
,4710.195354125,1.0,0.0,0.0,0.0,2722.4781674999995,0.0,0.0,0.0,0.083333,6.0,0.0,12750.0,3031.587665,1842.1386358423804,0.0,12.0
,544.314078,1.0,111.8,111.8,0.0,912.814627,0.083333,0.083333,0.0,0.166667,3.0,1.0,1200.0,135.415952,183.945301,0.0,12.0
,435.518068,1.0,27.22,27.22,0.0,0.0,0.083333,0.083333,0.0,0.0,0.0,1.0,500.0,160.536841,220.943631,0.0,12.0
,972.958145,1.0,100.0,100.0,0.0,37.470292,0.083333,0.083333,0.0,0.166667,2.0,1.0,1000.0,318.226488,577.927525,0.0,12.0
,1094.221693,1.0,35.0,35.0,0.0,18.804195,0.083333,0.083333,0.0,0.083333,1.0,2.0,1200.0,348.094372,493.967774,0.0,12.0
,396.419487,1.0,2852.8100000000004,1518.6,0.0,0.0,0.916667,0.8333325,0.0,0.0,0.0,14.0,5000.0,4145.830201000001,163.370313,0.3125,12.0
,1269.019947,0.818182,445.46,0.0,445.46,0.0,1.0,0.0,1.0,0.0,0.0,13.0,2600.0,2875.999728,489.750966,0.0,12.0
,338.310239,1.0,2852.8100000000004,1518.6,366.09,0.0,0.75,0.25,0.583333,0.0,0.0,15.0,6000.0,2801.205072,125.713305,0.3125,12.0
,182.514528,1.0,157.67,0.0,157.67,214.94366,0.916667,0.0,0.916667,0.416667,6.0,11.0,1000.0,138.547392,209.716038,0.0,12.0
,947.223495,1.0,0.0,0.0,0.0,648.548716,0.0,0.0,0.0,0.25,3.0,0.0,6500.0,2415.827922,1842.1386358423804,0.0,12.0
,661.940291,1.0,755.14,482.9,272.24,0.0,0.916667,0.75,0.75,0.0,0.0,29.0,6500.0,2284.482833,247.277952,0.3125,12.0
,55.907108,1.0,439.91,0.0,439.91,0.0,1.0,0.0,1.0,0.0,0.0,25.0,6000.0,449.043148,172.225824,0.3125,12.0
,2848.442843,1.0,2148.02,1518.6,513.58,385.68198,1.0,0.666667,0.583333,0.083333,1.0,32.0,3500.0,922.603695,764.90448,0.0,12.0
,4710.195354125,1.0,2852.8100000000004,1518.6,1198.14375,0.0,1.0,0.8333325,0.916667,0.0,0.0,43.5,12000.0,1367.537734,1374.956496,0.0,12.0
,56.68168,1.0,827.2,0.0,827.2,0.0,1.0,0.0,1.0,0.0,0.0,20.0,1000.0,798.681574,174.491545,0.3125,12.0
,1276.941373,1.0,2196.54,1037.8,1158.74,0.0,1.0,0.333333,1.0,0.0,0.0,43.5,1000.0,1410.009813,1842.1386358423804,0.0,12.0
,931.907808,1.0,1142.12,0.0,1142.12,1113.924335,1.0,0.0,0.857143,0.285714,3.0,14.0,1000.0,957.421268,1064.015704,0.0,12.0
,1959.35945,1.0,0.0,0.0,0.0,2722.4781674999995,0.0,0.0,0.0,0.5,6.0,0.0,4000.0,1542.366508,460.734661,0.0,12.0
,965.514081,1.0,2852.8100000000004,1518.6,0.0,0.0,0.916667,0.8333325,0.0,0.0,0.0,23.0,5500.0,4145.830201000001,261.663214,0.3125,12.0
